Date,FSDI Ch 54,FSDI Ch 55,FSDI Ch 56,FSDI Ch 57,FSDI Ch 58,FSDI Ch 59,FSDI Ch Ch 60,MDI1 Ch 1 (12-3pm),FSDI Ch 61,MDI1 Ch 2 (9-12pm),FSDI Ch 62,MDI1 Ch 3 (12-3pm),FSDI Ch 63,MDI1 Ch 4 (9-12pm),FSDI Ch 64
"Tuesday, 05/12/26",,,,,,,,,,,,,,MDI-1 119,FSDI 117
"Wednesday, 05/13/26",,,,,,,,,,,,,FSDI 119,,
"Thursday, 05/14/26",,,,,,,,,,,,,,MDI-1 119,FSDI 117
"Friday, 05/15/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 05/16/26",,,,,,,,,,,,,,MDI-1 120,FSDI 117
"Saturday (12 pm - 3 pm), 05/16/26",,,,,,,,,,,,,FSDI 120,,
"Sunday, 05/17/26",,,,,,,,,,,,,,,
"Monday, 05/18/26",,,,,,,,,,,,,FSDI 120,,
"Tuesday, 05/19/26",,,,,,,,,,,,,,MDI-1 120,FSDI 117
"Wednesday, 05/20/26",,,,,,,,,,,,,FSDI 120,,
"Thursday, 05/21/26",,,,,,,,,,,,,,MDI-1 120,FSDI 118
"Friday, 05/22/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 05/23/26",,,,,,,,,,,,,,MDI-1 120,FSDI 118
"Saturday (12 pm - 3 pm), 05/23/26",,,,,,,,,,,,,FSDI 120,,
"Sunday, 05/24/26",,,,,,,,,,,,,,,
"Monday, 05/25/26",,,,,,,,,,,,,,,
"Tuesday, 05/26/26",,,,,,,,,,,,,,MDI-1 120,FSDI 118
"Wednesday, 05/27/26",,,,,,,,,,,,,FSDI 120,,
"Thursday, 05/28/26",,,,,,,,,,,,,,MDI-1 120,FSDI 118
"Friday, 05/29/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 05/30/26",,,,,,,,,,,,,,MDI-1 120,FSDI 118
"Saturday (12 pm - 3 pm), 05/30/26",,,,,,,,,,,,,FSDI 120,,
"Sunday, 05/31/26",,,,,,,,,,,,,FSDI 120,MDI-1 120,
"Monday, 06/01/26",,,,,,,,,,,,,,,
"Tuesday, 06/02/26",,,,,,,,,,,,,,,FSDI 118
"Wednesday, 06/03/26",,,,,,,,,,,,,,,
"Thursday, 06/04/26",,,,,,,,,,,,,,,FSDI 119
"Friday, 06/05/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 06/06/26",,,,,,,,,,,,,,,FSDI 119
"Saturday (12 pm - 3 pm), 06/06/26",,,,,,,,,,,,,,,
"Sunday, 06/07/26",,,,,,,,,,,,,,,
"Monday, 06/08/26",,,,,,,,,,,,,,,
"Tuesday, 06/09/26",,,,,,,,,,,,,,,FSDI 119
"Wednesday, 06/10/26",,,,,,,,,,,,,,,
"Thursday, 06/11/26",,,,,,,,,,,,,,,FSDI 119
"Friday, 06/12/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 06/13/26",,,,,,,,,,,,,,,FSDI 119
"Saturday (12 pm - 3 pm), 06/13/26",,,,,,,,,,,,,,,
"Sunday, 06/14/26",,,,,,,,,,,,,,,
"Monday, 06/15/26",,,,,,,,,,,,,,,
"Tuesday, 06/16/26",,,,,,,,,,,,,,,FSDI 119
"Wednesday, 06/17/26",,,,,,,,,,,,,,,
"Thursday, 06/18/26",,,,,,,,,,,,,,,FSDI 120
"Friday, 06/19/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 06/20/26",,,,,,,,,,,,,,,FSDI 120
"Saturday (12 pm - 3 pm), 06/20/26",,,,,,,,,,,,,,,
"Sunday, 06/21/26",,,,,,,,,,,,,,,
"Monday, 06/22/26",,,,,,,,,,,,,,,
"Tuesday, 06/23/26",,,,,,,,,,,,,,,FSDI 120
"Wednesday, 06/24/26",,,,,,,,,,,,,,,
"Thursday, 06/25/26",,,,,,,,,,,,,,,FSDI 120
"Friday, 06/26/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 06/27/26",,,,,,,,,,,,,,,FSDI 120
"Saturday (12 pm - 3 pm), 06/27/26",,,,,,,,,,,,,,,
"Sunday, 06/28/26",,,,,,,,,,,,,,,
"Monday, 06/29/26",,,,,,,,,,,,,,,
"Tuesday, 06/30/26",,,,,,,,,,,,,,,FSDI 120
"Wednesday, 07/01/26",,,,,,,,,,,,,,,
"Thursday, 07/02/26",,,,,,,,,,,,,,,FSDI 120
"Friday, 07/03/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 07/04/26",,,,,,,,,,,,,,,FSDI 120
"Saturday (12 pm - 3 pm), 07/04/26",,,,,,,,,,,,,,,
"Sunday, 07/05/26",,,,,,,,,,,,,,,FSDI 120
