Date,FSDI Ch 54,FSDI Ch 55,FSDI Ch 56,FSDI Ch 57,FSDI Ch 58,FSDI Ch 59,FSDI Ch Ch 60,MDI1 Ch 1 (12-3pm),FSDI Ch 61,MDI1 Ch 2 (9-12pm),FSDI Ch 62,MDI1 Ch 3 (12-3pm),FSDI Ch 63,MDI1 Ch 4 (9-12pm),FSDI Ch 64
"Saturday (9 am - 12 pm), 03/08/25",FSDI 111,,FSDI 104,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 03/08/25",,FSDI 107,,,,,,,,,,,,,
"Sunday, 03/09/25",,,,,,,,,,,,,,,
"Monday, 03/10/25",,FSDI 107,,FSDI 101,,,,,,,,,,,
"Tuesday, 03/11/25",FSDI 112,,FSDI 104,,,,,,,,,,,,
"Wednesday, 03/12/25",,FSDI 108,,FSDI 101,,,,,,,,,,,
"Thursday, 03/13/25",FSDI 112,,FSDI 105,,,,,,,,,,,,
"Friday, 03/14/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 03/15/25",FSDI 112,,FSDI 105,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 03/15/25",,FSDI 108,,FSDI 101,,,,,,,,,,,
"Sunday, 03/16/25",,,,,,,,,,,,,,,
"Monday, 03/17/25",,FSDI 108,,FSDI 101,,,,,,,,,,,
"Tuesday, 03/18/25",FSDI 112,,FSDI 105,,,,,,,,,,,,
"Wednesday, 03/19/25",,FSDI 108,,FSDI 102,,,,,,,,,,,
"Thursday, 03/20/25",FSDI 113,,FSDI 105,,,,,,,,,,,,
"Friday, 03/21/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 03/22/25",FSDI 113,,FSDI 106,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 03/22/25",,FSDI 109,,FSDI 102,,,,,,,,,,,
"Sunday, 03/23/25",,,,,,,,,,,,,,,
"Monday, 03/24/25",,FSDI 109,,FSDI 102,,,,,,,,,,,
"Tuesday, 03/25/25",FSDI 113,,FSDI 106,,,,,,,,,,,,
"Wednesday, 03/26/25",,FSDI 109,,FSDI 102,,,,,,,,,,,
"Thursday, 03/27/25",FSDI 113,,FSDI 106,,,,,,,,,,,,
"Friday, 03/28/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 03/29/25",FSDI 114,,FSDI 106,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 03/29/25",,FSDI 109,,FSDI 103,,,,,,,,,,,
"Sunday, 03/30/25",,,,,,,,,,,,,,,
"Monday, 03/31/25",,FSDI 110,,FSDI 103,,,,,,,,,,,
"Tuesday, 04/01/25",FSDI 114,,FSDI 107,,,,,,,,,,,,
"Wednesday, 04/02/25",,FSDI 110,,FSDI 103,,,,,,,,,,,
"Thursday, 04/03/25",FSDI 114,,FSDI 107,,,,,,,,,,,,
"Friday, 04/04/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 04/05/25",FSDI 114,,FSDI 107,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 04/05/25",,FSDI 110,,FSDI 103,,,,,,,,,,,
"Sunday, 04/06/25",,,,,,,,,,,,,,,
"Monday, 04/07/25",,FSDI 110,,FSDI 104,,,,,,,,,,,
"Tuesday, 04/08/25",FSDI 115,,FSDI 107,,,,,,,,,,,,
"Wednesday, 04/09/25",,FSDI 111,,FSDI 104,,,,,,,,,,,
"Thursday, 04/10/25",FSDI 115,,FSDI 108,,,,,,,,,,,,
"Friday, 04/11/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 04/12/25",FSDI 115,,FSDI 108,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 04/12/25",,FSDI 111,,FSDI 104,,,,,,,,,,,
"Sunday, 04/13/25",,,,,,,,,,,,,,,
"Monday, 04/14/25",,,,,,,,,,,,,,,
"Tuesday, 04/15/25",,,,,,,,,,,,,,,
"Wednesday, 04/16/25",,,,,,,,,,,,,,,
"Thursday, 04/17/25",,,,,,,,,,,,,,,
"Friday, 04/18/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 04/19/25",FSDI 115,,FSDI 108,,FSDI 101,,,,,,,,,,
"Saturday (12 pm - 3 pm), 04/19/25",,FSDI 111,,FSDI 104,Orientation,,,,,,,,,,
"Sunday, 04/20/25",,,,,,,,,,,,,,,
"Monday, 04/21/25",,FSDI 111,,FSDI 105,,,,,,,,,,,
"Tuesday, 04/22/25",FSDI 116,,FSDI 108,,FSDI 101,,,,,,,,,,
"Wednesday, 04/23/25",,FSDI 112,,FSDI 105,,,,,,,,,,,
"Thursday, 04/24/25",FSDI 116,,FSDI 109,,FSDI 101,,,,,,,,,,
"Friday, 04/25/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 04/26/25",FSDI 116,,FSDI 109,,FSDI 101,,,,,,,,,,
"Saturday (12 pm - 3 pm), 04/26/25",,FSDI 112,,FSDI 105,,,,,,,,,,,
"Sunday, 04/27/25",,,,,,,,,,,,,,,
"Monday, 04/28/25",,FSDI 112,,FSDI 105,,,,,,,,,,,
"Tuesday, 04/29/25",FSDI 116,,FSDI 109,,FSDI 102,,,,,,,,,,
"Wednesday, 04/30/25",,FSDI 112,,FSDI 106,,,,,,,,,,,
"Thursday, 05/01/25",FSDI 117,,FSDI 109,,FSDI 102,,,,,,,,,,
"Friday, 05/02/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 05/03/25",FSDI 117,,FSDI 110,,FSDI 102,,,,,,,,,,
"Saturday (12 pm - 3 pm), 05/03/25",,FSDI 113,,FSDI 106,,,,,,,,,,,
"Sunday, 05/04/25",,,,,,,,,,,,,,,
"Monday, 05/05/25",,FSDI 113,,FSDI 106,,,,,,,,,,,
"Tuesday, 05/06/25",FSDI 117,,FSDI 110,,FSDI 102,,,,,,,,,,
"Wednesday, 05/07/25",,FSDI 113,,FSDI 106,,,,,,,,,,,
"Thursday, 05/08/25",FSDI 117,,FSDI 110,,FSDI 103,,,,,,,,,,
"Friday, 05/09/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 05/10/25",FSDI 117,,FSDI 110,,FSDI 103,,,,,,,,,,
"Saturday (12 pm - 3 pm), 05/10/25",,FSDI 113,,FSDI 107,,,,,,,,,,,
"Sunday, 05/11/25",,,,,,,,,,,,,,,
"Monday, 05/12/25",,FSDI 114,,FSDI 107,,,,,,,,,,,
"Tuesday, 05/13/25",FSDI 117,,FSDI 111,,FSDI 103,,,,,,,,,,
"Wednesday, 05/14/25",,FSDI 114,,FSDI 107,,,,,,,,,,,
"Thursday, 05/15/25",FSDI 118,,FSDI 111,,FSDI 103,,,,,,,,,,
"Friday, 05/16/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 05/17/25",FSDI 118,,FSDI 111,,FSDI 104,,,,,,,,,,
"Saturday (12 pm - 3 pm), 05/17/25",,FSDI 114,,FSDI 107,,,,,,,,,,,
"Sunday, 05/18/25",,,,,,,,,,,,,,,
"Monday, 05/19/25",,FSDI 114,,FSDI 108,,,,,,,,,,,
"Tuesday, 05/20/25",FSDI 118,,FSDI 111,,FSDI 104,,,,,,,,,,
"Wednesday, 05/21/25",,FSDI 115,,FSDI 108,,,,,,,,,,,
"Thursday, 05/22/25",FSDI 118,,FSDI 112,,FSDI 104,,,,,,,,,,
"Friday, 05/23/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 05/24/25",FSDI 118,,FSDI 112,,FSDI 104,,,,,,,,,,
"Saturday (12 pm - 3 pm), 05/24/25",,,,FSDI 108,,,,,,,,,,,
"Sunday, 05/25/25",,,,,,,,,,,,,,,
"Monday, 05/26/25",,,,,,,,,,,,,,,
"Tuesday, 05/27/25",FSDI 118,,FSDI 112,,FSDI 105,,,,,,,,,,
"Wednesday, 05/28/25",,FSDI 115,,FSDI 108,,FSDI 101,,,,,,,,,
"Thursday, 05/29/25",FSDI 119,,FSDI 112,,FSDI 105,,,,,,,,,,
"Friday, 05/30/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 05/31/25",FSDI 119,,FSDI 113,,FSDI 105,,,,,,,,,,
"Saturday (12 pm - 3 pm), 05/31/25",,FSDI 115,,FSDI 109,,FSDI 101,,,,,,,,,
"Sunday, 06/01/25",,,,,,,,,,,,,,,
"Monday, 06/02/25",,FSDI 116,,FSDI 109,,FSDI 101,,,,,,,,,
"Tuesday, 06/03/25",FSDI 119,,FSDI 113,,FSDI 105,,,,,,,,,,
"Wednesday, 06/04/25",,FSDI 116,,FSDI 109,,FSDI 101,,,,,,,,,
"Thursday, 06/05/25",FSDI 119,,FSDI 113,,FSDI 106,,,,,,,,,,
"Friday, 06/06/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 06/07/25",FSDI 119,,FSDI 113,,FSDI 106,,,,,,,,,,
"Saturday (12 pm - 3 pm), 06/07/25",,FSDI 116,,FSDI 109,,FSDI 102,,,,,,,,,
"Sunday, 06/08/25",,,,,,,,,,,,,,,
"Monday, 06/09/25",,FSDI 116,,FSDI 110,,FSDI 102,,,,,,,,,
"Tuesday, 06/10/25",FSDI 119,,FSDI 114,,FSDI 106,,,,,,,,,,
"Wednesday, 06/11/25",,FSDI 117,,FSDI 110,,FSDI 102,,,,,,,,,
"Thursday, 06/12/25",FSDI 120,,FSDI 114,,FSDI 106,,,,,,,,,,
"Friday, 06/13/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 06/14/25",FSDI 120,,FSDI 114,,FSDI 107,,,,,,,,,,
"Saturday (12 pm - 3 pm), 06/14/25",,FSDI 117,,FSDI 110,,FSDI 102,,,,,,,,,
"Sunday, 06/15/25",,,,,,,,,,,,,,,
"Monday, 06/16/25",,FSDI 117,,FSDI 110,,FSDI 103,,,,,,,,,
"Tuesday, 06/17/25",FSDI 120,,FSDI 114,,FSDI 107,,,,,,,,,,
"Wednesday, 06/18/25",,FSDI 117,,FSDI 111,,FSDI 103,,,,,,,,,
"Thursday, 06/19/25",,,,,,,,,,,,,,,
"Friday, 06/20/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 06/21/25",FSDI 120,,FSDI 115,,FSDI 107,,,,,,,,,,
"Saturday (12 pm - 3 pm), 06/21/25",,FSDI 117,,FSDI 111,,FSDI 103,,,,,,,,,
"Sunday, 06/22/25",,,,,,,,,,,,,,,
"Monday, 06/23/25",,FSDI 117,,FSDI 111,,FSDI 103,,,,,,,,,
"Tuesday, 06/24/25",FSDI 120,,FSDI 115,,FSDI 107,,,,,,,,,,
"Wednesday, 06/25/25",,FSDI 118,,FSDI 111,,FSDI 104,,,,,,,,,
"Thursday, 06/26/25",FSDI 120,,FSDI 115,,FSDI 108,,,,,,,,,,
"Friday, 06/27/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 06/28/25",FSDI 120,,FSDI 115,,FSDI 108,,,,,,,,,,
"Saturday (12 pm - 3 pm), 06/28/25",,FSDI 118,,FSDI 112,,FSDI 104,,,,,,,,,
"Sunday, 06/29/25",,,,,,,,,,,,,,,
"Monday, 06/30/25",,FSDI 118,,FSDI 112,,FSDI 104,,MDI-1 101,,,,,,,
"Tuesday, 07/01/25",,,FSDI 116,,FSDI 108,,FSDI 101,,,,,,,,
"Wednesday, 07/02/25",,FSDI 118,,FSDI 112,,FSDI 104,,MDI-1 101,,,,,,,
"Thursday, 07/03/25",,,FSDI 116,,FSDI 108,,FSDI 101,,,,,,,,
"Friday, 07/04/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 07/05/25",,,FSDI 116,,FSDI 109,,FSDI 101,,,,,,,,
"Saturday (12 pm - 3 pm), 07/05/25",,FSDI 118,,FSDI 112,,FSDI 105,,MDI-1 101,,,,,,,
"Sunday, 07/06/25",,,,,,,,,,,,,,,
"Monday, 07/07/25",,FSDI 118,,FSDI 113,,FSDI 105,,MDI-1 101,,,,,,,
"Tuesday, 07/08/25",,,FSDI 116,,FSDI 109,,FSDI 101,,,,,,,,
"Wednesday, 07/09/25",,FSDI 119,,FSDI 113,,FSDI 105,,MDI-1 102,,,,,,,
"Thursday, 07/10/25",,,FSDI 117,,FSDI 109,,FSDI 102,,,,,,,,
"Friday, 07/11/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 07/12/25",,,FSDI 117,,FSDI 109,,FSDI 102,,,,,,,,
"Saturday (12 pm - 3 pm), 07/12/25",,FSDI 119,,FSDI 113,,FSDI 105,,MDI-1 102,,,,,,,
"Sunday, 07/13/25",,,,,,,,,,,,,,,
"Monday, 07/14/25",,FSDI 119,,FSDI 113,,FSDI 106,,MDI-1 102,,,,,,,
"Tuesday, 07/15/25",,,FSDI 117,,FSDI 110,,FSDI 102,,,,,,,,
"Wednesday, 07/16/25",,FSDI 119,,FSDI 114,,FSDI 106,,MDI-1 102,,,,,,,
"Thursday, 07/17/25",,,FSDI 117,,FSDI 110,,FSDI 102,,,,,,,,
"Friday, 07/18/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 07/19/25",,,FSDI 117,,FSDI 110,,FSDI 103,,,,,,,,
"Saturday (12 pm - 3 pm), 07/19/25",,FSDI 119,,FSDI 114,,FSDI 106,,MDI-1 103,,,,,,,
"Sunday, 07/20/25",,,,,,,,,,,,,,,
"Monday, 07/21/25",,FSDI 119,,FSDI 114,,FSDI 106,,MDI-1 103,,,,,,,
"Tuesday, 07/22/25",,,FSDI 117,,FSDI 110,,FSDI 103,,,,,,,,
"Wednesday, 07/23/25",,FSDI 120,,FSDI 114,,FSDI 107,,MDI-1 103,,,,,,,
"Thursday, 07/24/25",,,FSDI 118,,FSDI 111,,FSDI 103,,,,,,,,
"Friday, 07/25/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 07/26/25",,,FSDI 118,,FSDI 111,,FSDI 103,,,,,,,,
"Saturday (12 pm - 3 pm), 07/26/25",,FSDI 120,,FSDI 115,,FSDI 107,,MDI-1 103,,,,,,,
"Sunday, 07/27/25",,,,,,,,,,,,,,,
